date,exports,domestic_exports,imports,total_trade,balance_of_trade,series
2/1/2024,-1.097772855,4.358046634,7.996938865,3.007231736,-43.29707913,yoy
3/1/2024,-0.599322446,1.985015655,10.88985818,4.525315164,-48.08511191,yoy
4/1/2024,9.498817803,14.97342896,14.14101214,11.68757881,-28.89074243,yoy
5/1/2024,7.182094784,13.07743765,13.42668404,10.08921284,-35.00130283,yoy
6/1/2024,1.727676159,7.201576107,17.77656955,8.686172283,-50.65569194,yoy
7/1/2024,12.62173856,18.40478847,25.39491473,18.49712571,-60.78125264,yoy
8/1/2024,12.07952192,15.41896529,25.4362172,18.21457712,-63.33480087,yoy
9/1/2024,-0.566383864,3.383251113,10.86038553,4.525462926,-47.37234564,yoy
10/1/2024,1.642440632,3.253336015,2.72303332,2.153470412,-7.791790289,yoy
11/1/2024,3.701230821,9.800091226,1.615097332,2.712789612,22.57537344,yoy
12/1/2024,17.01712825,13.43079391,11.92197295,14.60329545,62.99591878,yoy
1/1/2025,0.353509597,2.939767105,6.162915763,3.132632077,-63.92811875,yoy
2/1/2025,6.098727903,5.689076097,5.502171662,5.816422082,11.37070824,yoy
3/1/2025,6.46391309,5.086447312,-2.857548598,2.053000378,88.75608605,yoy
4/1/2025,15.92999882,8.44076755,19.87309886,17.8299816,-36.41114273,yoy
5/1/2025,-1.156869629,-4.77405678,6.58452443,2.556331166,-92.4141324,yoy
6/1/2025,-3.459255302,-5.197468285,1.243777696,-1.249557264,-40.09864151,yoy
